DATE,M1
2013-09-01,2583.8800000000000000
2013-10-01,2624.4750000000000000
2013-11-01,2617.6250000000000000
2013-12-01,2662.9200000000000000
2014-01-01,2685.1750000000000000
2014-02-01,2726.1750000000000000
2014-03-01,2755.7800000000000000
2014-04-01,2777.9750000000000000
2014-05-01,2789.3250000000000000
2014-06-01,2828.2000000000000000
2014-07-01,2842.0000000000000000
2014-08-01,2806.2750000000000000
2014-09-01,2853.6400000000000000
2014-10-01,2860.2750000000000000
2014-11-01,2890.8250000000000000
2014-12-01,2931.2800000000000000
2015-01-01,2929.4750000000000000
2015-02-01,3003.4000000000000000
2015-03-01,3002.4400000000000000
2015-04-01,3000.7000000000000000
2015-05-01,2989.3750000000000000
2015-06-01,3012.9400000000000000
2015-07-01,3032.4750000000000000
2015-08-01,3036.6800000000000000
2015-09-01,3047.0750000000000000
2015-10-01,3008.6250000000000000
2015-11-01,3079.4600000000000000
2015-12-01,3084.8500000000000000
2016-01-01,3110.1750000000000000
2016-02-01,3120.5200000000000000
2016-03-01,3149.3000000000000000
2016-04-01,3191.2500000000000000
2016-05-01,3240.3800000000000000
2016-06-01,3245.2750000000000000
2016-07-01,3252.3250000000000000
2016-08-01,3304.6600000000000000
2016-09-01,3317.3000000000000000
2016-10-01,3338.6800000000000000
2016-11-01,3354.8250000000000000
2016-12-01,3336.5250000000000000
2017-01-01,3383.7400000000000000
2017-02-01,3401.6250000000000000
2017-03-01,3436.1500000000000000
2017-04-01,3465.6750000000000000
2017-05-01,3508.6400000000000000
2017-06-01,3517.2750000000000000
2017-07-01,3554.6800000000000000
2017-08-01,3588.9750000000000000
2017-09-01,3570.5000000000000000
2017-10-01,3601.0800000000000000
2017-11-01,3627.5000000000000000
2017-12-01,3613.8500000000000000
2018-01-01,3638.8400000000000000
2018-02-01,3616.8500000000000000
2018-03-01,3661.2750000000000000
2018-04-01,3661.5600000000000000
2018-05-01,3656.1000000000000000
2018-06-01,3658.5500000000000000
2018-07-01,3679.5600000000000000
2018-08-01,3677.7000000000000000
2018-09-01,3721.8250000000000000
2018-10-01,3720.0200000000000000
2018-11-01,3689.7000000000000000
2018-12-01,3753.9800000000000000
2019-01-01,3738.2500000000000000
2019-02-01,3765.5000000000000000
2019-03-01,3737.1750000000000000
2019-04-01,3775.5400000000000000
2019-05-01,3782.5250000000000000
2019-06-01,3844.5250000000000000
2019-07-01,3852.1600000000000000
2019-08-01,3853.3500000000000000
2019-09-01,3901.8000000000000000
2019-10-01,3921.9500000000000000
2019-11-01,3950.3000000000000000
2019-12-01,3977.3600000000000000
2020-01-01,3959.1750000000000000
2020-02-01,4011.5750000000000000
2020-03-01,4208.0600000000000000
2020-04-01,4763.1250000000000000
2020-05-01,16212.200000000000
2020-06-01,16556.920000000000
2020-07-01,16804.700000000000
2020-08-01,16905.000000000000
2020-09-01,17205.775000000000
2020-10-01,17349.575000000000
2020-11-01,17604.480000000000
2020-12-01,17792.700000000000
2021-01-01,18068.600000000000
